Order number,Date,Product name,Category,Number of sales,Price per unit,Total cost
1301,29.03.2020,Premium bit rental,Beatmaking,143,4999,714857
1302,06.06.2018,Electric Guitar Fender Player Stratocaster Sea Foam Green,Musical instruments,5,162990,814950
1303,20.01.2023,COMMO One Wireless Headphones,Headphones,121,5490,664290
1304,13.12.2005,TSURIKAWA,Car accessories,2023,350,708050
1305,20.09.2019,Courses on creating bits,Beatmaking,52,6275,326300
1306,18.04.2016,AKAI MPK Mini MKIII MIDI Keyboard,Musical instruments,39,18499,721461
1307,01.02.2015,Mann air filter 12- c27019,Car accessories,657,1099,722043
1308,31.05.2014,1JZ-FE/2JZ-FE SAT water pump,Car accessories,212,2579,546748
1309,16.12.2021,Sony WH-1000XM4 Wireless Headphones,Headphones,38,21090,801420
1310,19.02.2022,Arturia DrumBrute Impact Drum Machine,Musical instruments,25,31999,799975
9931,03.08.2021,Dreamcore Melody Kit,Beatmaking,128,4199,537472
9932,14.05.2020,Audio-Technica ATH-M50X Headphones,Headphones,45,19288,867960
9933,16.07.2022,Nektar Impact LX25+ MIDI Keyboard,Musical instruments,36,14990,539640
9934,26.02.2021,Apple AirPods Max Wireless Headphones,Headphones,19,51000,969000
9935,03.09.2019,Sony MDR-7506 black full-size studio headphones,Headphones,29,16500,478500
9936,25.12.2017,DJ Controller Numark Party Mix 2,Musical instruments,23,17100,393300
9937,15.06.2009,Spoiler Mitsubishi Lancer X,Car accessories,69,7259,500871
9938,20.04.2023,Mixing and mastering,Beatmaking,201,3500,703500
9939,14.05.2006,Automatic transmission handle,Car accessories,313,1870,585310
9940,02.05.2018,AOM Drum Kit Vol.1,Beatmaking,145,5000,725000
